"이미지 이름","PID","세션 이름","세션#","메모리 사용"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","1,456 K"
"Registry","88","Services","0","25,712 K"
"smss.exe","380","Services","0","1,204 K"
"csrss.exe","476","Services","0","4,472 K"
"wininit.exe","552","Services","0","6,320 K"
"csrss.exe","568","Console","1","4,596 K"
"winlogon.exe","644","Console","1","9,248 K"
"services.exe","664","Services","0","7,396 K"
"lsass.exe","700","Services","0","14,084 K"
"svchost.exe","788","Services","0","24,904 K"
"fontdrvhost.exe","800","Services","0","3,492 K"
"svchost.exe","880","Services","0","12,688 K"
"fontdrvhost.exe","948","Console","1","7,180 K"
"dwm.exe","1012","Console","1","70,336 K"
"svchost.exe","544","Services","0","72,672 K"
"svchost.exe","760","Services","0","26,372 K"
"svchost.exe","896","Services","0","16,384 K"
"svchost.exe","1040","Services","0","51,352 K"
"svchost.exe","1140","Services","0","33,352 K"
"vmacthlp.exe","1348","Services","0","6,032 K"
"svchost.exe","1372","Services","0","17,620 K"
"Memory Compression","1532","Services","0","51,484 K"
"svchost.exe","1584","Services","0","10,860 K"
"svchost.exe","1664","Services","0","6,000 K"
"svchost.exe","1672","Services","0","8,568 K"
"spoolsv.exe","1752","Services","0","13,108 K"
"svchost.exe","1800","Services","0","16,524 K"
"svchost.exe","1192","Services","0","27,284 K"
"VGAuthService.exe","1640","Services","0","8,008 K"
"vmtoolsd.exe","1828","Services","0","18,120 K"
"MsMpEng.exe","2116","Services","0","122,092 K"
"dllhost.exe","2500","Services","0","11,884 K"
"svchost.exe","2536","Services","0","16,180 K"
"WmiPrvSE.exe","2692","Services","0","20,856 K"
"svchost.exe","2860","Services","0","20,800 K"
"msdtc.exe","2944","Services","0","8,948 K"
"NisSrv.exe","2460","Services","0","9,512 K"
"WmiPrvSE.exe","3824","Services","0","27,036 K"
"svchost.exe","3904","Services","0","6,988 K"
"SgrmBroker.exe","3612","Services","0","5,700 K"
"svchost.exe","1844","Services","0","9,584 K"
"SearchIndexer.exe","1324","Services","0","41,388 K"
"CompatTelRunner.exe","3868","Services","0","1,404 K"
"conhost.exe","1564","Services","0","480 K"
"svchost.exe","2284","Services","0","29,664 K"
"sihost.exe","3220","Console","1","24,332 K"
"svchost.exe","3836","Console","1","39,116 K"
"taskhostw.exe","2848","Console","1","9,356 K"
"ctfmon.exe","2424","Console","1","15,248 K"
"explorer.exe","2480","Console","1","112,616 K"
"svchost.exe","656","Console","1","19,420 K"
"wbengine.exe","1364","Services","0","8,584 K"
"StartMenuExperienceHost.exe","3024","Console","1","66,712 K"
"VSSVC.exe","2636","Services","0","8,180 K"
"svchost.exe","3912","Services","0","7,660 K"
"RuntimeBroker.exe","2464","Console","1","24,840 K"
"SearchUI.exe","1412","Console","1","96,180 K"
"RuntimeBroker.exe","4320","Console","1","51,880 K"
"dllhost.exe","4436","Console","1","14,132 K"
"ApplicationFrameHost.exe","4500","Console","1","28,636 K"
"MicrosoftEdge.exe","4512","Console","1","50,040 K"
"browser_broker.exe","4648","Console","1","8,452 K"
"SearchProtocolHost.exe","4756","Console","1","7,060 K"
"RuntimeBroker.exe","4908","Console","1","8,252 K"
"MicrosoftEdgeSH.exe","5012","Console","1","11,100 K"
"MicrosoftEdgeCP.exe","5068","Console","1","22,492 K"
"RuntimeBroker.exe","5216","Console","1","18,748 K"
"CompatTelRunner.exe","5308","Services","0","31,724 K"
"SearchFilterHost.exe","5316","Services","0","6,288 K"
"backgroundTaskHost.exe","5708","Console","1","15,320 K"
"dllhost.exe","5872","Console","1","12,292 K"
"cmd.exe","6080","Console","1","4,080 K"
"conhost.exe","6088","Console","1","20,708 K"
"smartscreen.exe","432","Console","1","22,832 K"
"SecurityHealthSystray.exe","3448","Console","1","8,756 K"
"SecurityHealthService.exe","3240","Services","0","14,300 K"
"vmtoolsd.exe","3348","Console","1","31,804 K"
"svchost.exe","5504","Services","0","13,976 K"
"WmiPrvSE.exe","4304","Services","0","8,004 K"
"OneDrive.exe","6020","Console","1","69,424 K"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","5116","Console","1","38,708 K"
"svchost.exe","5644","Services","0","11,260 K"
"WinStore.App.exe","4608","Console","1","44,252 K"
"RuntimeBroker.exe","2672","Console","1","7,320 K"
"tasklist.exe","5564","Console","1","8,420 K"
